,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
Temperature,-0.10700826135716208,-0.04790804655186395,0.37387090843756,-0.3125837936035638,0.058935708560118476,0.1069637717196835,0.489761540087736,0.2120190362930592,-0.07350350588496284,-0.5124422173170113
Mean_CN,0.2959359755545229,0.03836603487324483,0.08831249328075569,0.10747290603344826,0.1891214347135651,0.020863705061206925,-0.08550949191285781,0.057590339441525994,-0.111310386389043,-0.061044955036704145
Std_CN,0.2432180943260969,-0.14717542311242146,0.16440386338685847,-0.18581041589930308,-0.07660331446961959,-0.13193225806346648,0.20837644942521338,-0.05171363662363851,-0.19899544101632433,0.18403927970390294
Min_CN,0.1916721065071443,-0.28067278505699167,0.07999421113420316,-0.19462437004451322,0.02208160286303723,-0.3691162299225963,0.13370386284583333,0.09348342178488703,-0.01193286167245537,-0.07807124264071202
Max_CN,0.16001031884862177,0.23861543557473933,-0.06338022612813589,-0.2743677763921617,0.22634724825199878,0.0920143873836495,0.17313221862934144,0.2260634130405815,-0.43366774129635205,0.6170356907968608
Median_CN,0.24177600507900254,0.045386936192692524,0.1610427106605243,0.15752085057731147,0.26179753989261284,-0.025681200779315412,-0.2761350021179481,0.21348210662089218,0.25305979104508114,-0.06096389996198409
Mean_AtomicVolume,-0.03996719829956533,-0.3886992955686047,-0.016024930102271552,0.2992094711347335,0.3796520281707934,0.23042591141006627,-0.053067556406160524,-0.0144868405887832,-0.294712042606838,-0.033393374274648974
Std_AtomicVolume,0.22316473470224732,0.1885187613281844,-0.06738176288088349,0.22408848815209742,0.26644538452141076,0.12351610181671666,0.12374941054958466,-0.2605807707368031,-0.20940269021563535,-0.2309105596926318
Min_AtomicVolume,-0.025069065139290962,0.2937104696648066,-0.1252829170318655,0.1928683311156237,-0.184200707040649,0.4799224478961753,0.071909700505149,0.5975551580823066,0.035221947405224004,-0.08299970657301546
Max_AtomicVolume,0.06575604217398266,0.4066124954926667,-0.12600897981067868,0.010937733168724225,0.05384439063390654,0.1468431588458115,0.35378065838517464,-0.4810104584411435,-0.057335217753972684,-0.16053254070562242
Median_AtomicVolume,-0.27052906143050043,-0.23012456650203525,-0.10391348127994429,0.0008093160430734633,-0.0531251607100223,0.15288186269762008,0.12194371206767111,0.025254247682260755,-0.08875234777743,0.006006715296055219
Mean_CavityRadius,-0.1946353251347187,-0.3801960029015352,-0.0460165461812895,0.14055728971616455,0.12432500430021305,0.1930708760368749,0.035263107673603425,-0.02852798668942344,-0.17140702150863915,0.0594280232444517
Std_CavityRadius,0.2691066666549475,-0.16391855001207253,0.0861048703841957,0.14970915684559738,0.2508154877735432,0.014711739560540716,0.03729148204304023,0.10939841490549652,-0.05292209529714178,-0.12503777756115364
Min_CavityRadius,-0.08559314770744762,-0.0662797416076234,-0.2635212795383627,0.07071016446428789,0.4406818077825691,-0.06758204680316161,0.46538785759784784,0.03183355337521136,0.620585550118513,0.24605936754824492
Max_CavityRadius,0.2856766944521467,-0.07661554770684276,0.0849224141644808,0.0033396220931678805,-0.08071770572661872,-0.009285448633347928,0.18826896936726786,0.2690884438840028,0.12471229382767905,0.012211507211029244
Median_CavityRadius,-0.2648232273567845,-0.22581519570439165,-0.09750761862053561,-0.03309720459866728,-0.1548623315395024,0.14195698149143715,0.16560645208162045,-0.012362565048244595,-0.05994283851627787,0.09844213420790351
Mean_Temperature,-0.26137103606791257,0.16561846303616434,0.22210672215073862,0.07957002108866239,0.19192928129801384,-0.1799861967574597,0.0024371084184148894,0.09149653154219635,-0.09657561336897141,0.015519723530661408
Std_Temperature,-0.03597201140697617,-0.016286800240733278,0.39689448251454923,-0.3698552240864377,0.18675893785064906,0.46156189601582603,-0.2187056868868119,-0.20143573628116618,0.2483411996162733,0.13176624348012683
Min_Temperature,-0.25096566660199743,0.16190849855062292,0.03299147908699054,0.2327860379514422,0.06945688808389765,-0.35368486818353423,0.07397511187488141,0.13553917650951583,-0.157813278926013,-0.025279908710510546
Max_Temperature,-0.2533657095221321,0.13757710480079827,0.3193506804343169,-0.058231531842002617,0.20460731303485483,0.01616515825765007,-0.09137661464139567,-0.016348419920609304,0.03050063186276388,0.07658054497426117
First_Temperature,-0.27029649611299783,0.1493741757639844,-0.03570460021536553,-0.12903089145888577,0.2543700527492595,-0.1699547407464158,-0.11761803737361666,0.11080340470509942,-0.0830704653099438,-0.09093854547609632
Last_Temperature,-0.19105242880061635,0.12074386241844219,0.4244913995302038,0.3271766191614833,-0.041158191871526646,-0.11020882103559285,0.11906903895380638,-0.026915495110838548,-0.004649116163982349,0.18866207347781308
Delta_Temperature,0.12554999219907112,-0.05667789251249854,0.39342149834299356,0.4105022891456075,-0.3032939518628463,0.08725402911177045,0.22406387117284307,-0.13964503467247183,0.08388946571430202,0.25418371379309174
